Sub,list_id,Correct,Time1,DoubleResp,Time2
1,1,TRUE,0.3872,FALSE,NA
1,1,TRUE,0.5844,FALSE,NA
1,1,TRUE,0.4315,FALSE,NA
1,1,TRUE,0.2795,FALSE,NA
1,1,TRUE,0.5631,FALSE,NA
1,1,TRUE,0.3603,FALSE,NA
1,1,TRUE,0.3786,FALSE,NA
1,1,FALSE,0.7553,FALSE,NA
1,1,TRUE,0.4407,FALSE,NA
1,1,TRUE,0.3431,FALSE,NA
1,1,TRUE,0.375,FALSE,NA
1,1,TRUE,0.4146,FALSE,NA
1,1,TRUE,0.506,FALSE,NA
1,1,FALSE,0.3815,FALSE,NA
1,1,TRUE,0.5325,FALSE,NA
1,1,TRUE,0.5037,FALSE,NA
1,1,TRUE,0.3403,FALSE,NA
1,1,TRUE,0.2876,FALSE,NA
1,1,TRUE,0.4363,FALSE,NA
1,1,TRUE,0.3425,FALSE,NA
1,1,TRUE,0.5099,FALSE,NA
1,1,TRUE,0.478,FALSE,NA
1,1,TRUE,0.4391,FALSE,NA
1,1,TRUE,0.5378,FALSE,NA
1,1,TRUE,0.3302,FALSE,NA
1,1,TRUE,0.5647,FALSE,NA
1,1,TRUE,0.6824,FALSE,NA
1,1,TRUE,0.3401,FALSE,NA
1,1,TRUE,0.285,FALSE,NA
1,1,TRUE,0.4244,FALSE,NA
1,1,FALSE,0.36,FALSE,NA
1,1,TRUE,0.7017,FALSE,NA
1,1,TRUE,0.362,FALSE,NA
1,1,TRUE,0.5911,FALSE,NA
1,1,TRUE,0.3317,FALSE,NA
1,1,TRUE,0.4494,FALSE,NA
1,1,TRUE,0.4513,FALSE,NA
1,1,TRUE,0.4776,FALSE,NA
1,1,FALSE,0.4087,FALSE,NA
1,1,TRUE,0.3377,FALSE,NA
1,1,TRUE,0.5205,FALSE,NA
1,1,FALSE,0.3741,FALSE,NA
1,1,TRUE,0.5011,TRUE,0.011
1,1,TRUE,0.2872,FALSE,NA
1,1,TRUE,0.557,FALSE,NA
1,1,TRUE,0.4855,FALSE,NA
1,1,FALSE,0.639,FALSE,NA
1,1,TRUE,0.3631,FALSE,NA
1,1,TRUE,0.3673,FALSE,NA
1,1,TRUE,0.4487,FALSE,NA
1,1,FALSE,0.4228,FALSE,NA
1,1,TRUE,0.5775,FALSE,NA
1,1,FALSE,0.4931,FALSE,NA
1,1,FALSE,0.4435,FALSE,NA
1,1,TRUE,0.4539,FALSE,NA
1,1,TRUE,0.4072,FALSE,NA
1,1,FALSE,0.3495,FALSE,NA
1,1,TRUE,0.4419,FALSE,NA
1,1,FALSE,0.4678,FALSE,NA
1,1,TRUE,0.38,FALSE,NA
1,1,TRUE,0.3542,FALSE,NA
1,1,FALSE,0.4572,FALSE,NA
1,1,TRUE,0.4642,FALSE,NA
1,1,TRUE,0.2875,FALSE,NA
1,1,TRUE,0.3479,FALSE,NA
1,1,TRUE,0.4243,FALSE,NA
1,1,TRUE,0.4295,FALSE,NA
1,1,TRUE,0.4259,FALSE,NA
1,1,TRUE,0.4585,FALSE,NA
1,1,TRUE,0.458,FALSE,NA
1,1,FALSE,0.5066,FALSE,NA
1,1,TRUE,0.4586,FALSE,NA
1,1,TRUE,0.4535,FALSE,NA
1,1,FALSE,0.5955,FALSE,NA
1,1,TRUE,0.4967,FALSE,NA
1,1,TRUE,0.4961,FALSE,NA
1,1,TRUE,0.5346,FALSE,NA
1,1,TRUE,0.4836,FALSE,NA
1,1,TRUE,0.3982,FALSE,NA
1,1,FALSE,0.4906,FALSE,NA
1,1,TRUE,0.3657,FALSE,NA
1,1,FALSE,0.6122,FALSE,NA
1,1,FALSE,0.4477,FALSE,NA
1,1,FALSE,0.3835,TRUE,0.189
1,1,TRUE,0.5015,FALSE,NA
1,1,FALSE,0.3811,FALSE,NA
1,1,TRUE,0.6049,FALSE,NA
1,1,FALSE,0.4503,FALSE,NA
1,1,TRUE,0.3714,FALSE,NA
1,1,TRUE,0.4523,FALSE,NA
1,1,FALSE,0.4849,FALSE,NA
1,1,TRUE,0.4203,FALSE,NA
1,1,FALSE,0.353,FALSE,NA
1,1,TRUE,0.3896,FALSE,NA
1,1,TRUE,0.2975,TRUE,0.138
1,1,TRUE,0.4241,FALSE,NA
1,1,FALSE,0.2713,FALSE,NA
1,1,TRUE,0.5579,FALSE,NA
1,1,TRUE,0.298,FALSE,NA
1,1,TRUE,0.3532,FALSE,NA
